epoch reward_sum_0 reward_sum_1 reward_sum_2 reward_sum_all
0 -138.379 21.7834 -9.72626 -126.322
1 135.938 207.664 195.629 539.231
2 260.621 248.809 420.075 929.505
3 184.68 174.451 327.382 686.513
4 343.993 402.815 202.484 949.292
5 145.914 -0.972761 194.383 339.324
6 624.926 411.234 538.803 1574.96
7 79.8667 363.459 467.05 910.375
8 162.241 238.98 294.529 695.75
9 240.142 230.738 365.197 836.077
10 170.374 -74.5924 140.567 236.349
11 249.963 135.372 439.334 824.669
12 225.788 458.76 421.247 1105.79
13 856.605 918.062 715.789 2490.46
14 471.087 618.937 710.993 1801.02
15 410.892 467.174 405.974 1284.04
16 173.154 569.819 301.404 1044.38
17 604.012 453.717 568.93 1626.66
18 523.147 794.98 659.081 1977.21
19 74.0885 83.2274 243.865 401.181
20 100.335 454.453 314.972 869.76
21 660.584 540.23 606.273 1807.09
22 302.799 554.835 606.696 1464.33
23 238.489 262.022 483.931 984.442
24 266.353 238.23 359.863 864.447
25 20.8228 33.9365 274.06 328.819
26 385.34 669.706 437.473 1492.52
27 153.9 172.597 183.88 510.377
28 293.523 133.533 173.086 600.142
29 112.436 42.8125 232.478 387.727
